region,site,transect,date,e_dna
santa_fe,altos_de_piedra,NA,2015-07-12T00:00:00+00:00,1
santa_fe,altos_de_piedra,NA,2015-07-12T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,altos_de_piedra,B,2016-07-09T00:00:00+00:00,1
santa_fe,cerro_negro,A,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,A,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,A,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,B,2014-07-12T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2015-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,B,2015-12-10T00:00:00+00:00,1
santa_fe,cerro_negro,B,2015-12-10T00:00:00+00:00,1
santa_fe,cerro_negro,B,2015-12-10T00:00:00+00:00,1
santa_fe,cerro_negro,B,2015-12-10T00:00:00+00:00,1
santa_fe,cerro_negro,A,2016-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2016-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2016-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2016-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,A,2016-07-14T00:00:00+00:00,1
santa_fe,cerro_negro,B,2016-12-06T00:00:00+00:00,1
santa_fe,cerro_negro,B,2016-12-06T00:00:00+00:00,1
santa_fe,cerro_negro,A,2016-12-07T00:00:00+00:00,1
caribbean,cuatro_callitas,Pena Loza,2014-06-17T00:00:00+00:00,1
caribbean,cuatro_callitas,Pena Loza,2014-06-17T00:00:00+00:00,1
caribbean,cuatro_callitas,Pena Loza,2014-06-17T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,el_nispero,Pond,2016-06-18T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-13T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-13T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,AB,2014-05-14T00:00:00+00:00,1
el_valle,farallon,A,2015-06-08T00:00:00+00:00,1
el_valle,farallon,A,2015-06-08T00:00:00+00:00,1
el_valle,farallon,A,2015-06-08T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,A,2015-12-10T00:00:00+00:00,1
el_valle,farallon,NA,2016-06-16T00:00:00+00:00,1
el_valle,farallon,NA,2016-06-16T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-06-28T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2015-12-15T00:00:00+00:00,1
el_cope,guabal,NA,2016-06-25T00:00:00+00:00,1
el_cope,guabal,NA,2016-06-25T00:00:00+00:00,1
el_cope,guabal,NA,2016-06-25T00:00:00+00:00,1
el_cope,guabal,NA,2016-06-25T00:00:00+00:00,1
el_cope,guabal,NA,2016-06-25T00:00:00+00:00,1
el_valle,jordinal,B,2014-05-23T00:00:00+00:00,1
el_valle,jordinal,A,2014-05-23T00:00:00+00:00,1
el_valle,jordinal,B,2014-05-23T00:00:00+00:00,1
el_valle,jordinal,B,2014-05-23T00:00:00+00:00,1
el_valle,jordinal,off transect,2015-06-08T00:00:00+00:00,1
el_valle,jordinal,off transect,2015-06-08T00:00:00+00:00,1
el_valle,jordinal,off transect,2015-06-08T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,jordinal,A,2015-12-13T00:00:00+00:00,1
el_valle,juan_lana,B,2014-05-15T00:00:00+00:00,1
el_valle,juan_lana,B,2016-02-02T00:00:00+00:00,1
el_valle,juan_lana,B,2016-02-02T00:00:00+00:00,1
el_valle,juan_lana,B,2016-02-02T00:00:00+00:00,1
el_valle,juan_lana,B,2016-02-02T00:00:00+00:00,1
el_valle,juan_lana,B,2016-02-02T00:00:00+00:00,1
el_valle,juan_lana,A,2016-06-21T00:00:00+00:00,1
el_valle,juan_lana,A,2016-06-21T00:00:00+00:00,1
el_valle,juan_lana,A,2016-06-21T00:00:00+00:00,1
el_valle,juan_lana,A,2016-06-21T00:00:00+00:00,1
el_valle,juan_lana,A,2016-06-21T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2014-05-17T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,B,2015-06-12T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_valle,mata_ahogado,AB,2015-12-08T00:00:00+00:00,1
el_cope,medina,1,2014-12-10T00:00:00+00:00,1
el_cope,medina,1,2014-12-10T00:00:00+00:00,1
el_cope,medina,1,2014-12-10T00:00:00+00:00,1
el_cope,medina,1,2014-12-10T00:00:00+00:00,1
el_cope,medina,1,2014-12-10T00:00:00+00:00,1
el_cope,medina,3,2016-11-21T00:00:00+00:00,1
el_cope,medina,3,2016-11-21T00:00:00+00:00,1
el_cope,medina,3,2016-11-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2015-07-29T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-01-21T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
caribbean,miguel_de_la_borda,NA,2016-07-28T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-05-27T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2014-12-19T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
altos_de_campana,rabbit_stream,NA,2015-06-25T00:00:00+00:00,1
